frame_id,object_id,class_name,confidence,x1,y1,x2,y2,width,height
1,1,car,0.892,1194,315,1460,568,266,252
1,2,person,0.842,1722,456,1795,666,72,209
1,3,person,0.834,398,711,493,972,94,260
1,4,person,0.832,417,254,495,471,78,216
1,5,person,0.826,100,547,174,794,74,247
1,6,person,0.743,1028,132,1087,302,59,170
1,7,person,0.735,1357,575,1459,819,102,243
1,8,person,0.705,1054,914,1109,1079,54,165
1,9,person,0.703,864,202,926,392,62,189
1,10,person,0.702,186,614,245,825,58,211
1,11,person,0.654,532,271,588,471,55,200
1,12,motorcycle,0.582,1482,568,1730,740,248,172
1,13,person,0.577,766,251,822,428,56,177
1,14,person,0.576,589,262,643,442,54,179
1,15,person,0.526,1278,173,1370,322,92,149
1,16,person,0.506,626,754,678,914,52,160
1,17,person,0.460,349,96,412,275,62,178
1,18,person,0.402,289,123,338,289,49,166
1,19,person,0.400,816,262,869,420,53,158
1,20,person,0.398,791,148,849,283,58,135
1,21,person,0.392,1164,162,1222,283,57,121
1,22,person,0.365,683,203,760,403,76,199
1,23,person,0.316,460,27,502,189,41,161
1,24,person,0.315,1487,69,1540,143,53,74
1,25,potted plant,0.302,1502,259,1605,365,102,105
2,1,car,0.889,1193,317,1460,568,266,251
2,2,person,0.841,1722,456,1795,666,72,209
2,3,person,0.830,417,255,493,471,76,216
2,4,person,0.825,99,546,174,794,75,247
2,5,person,0.798,397,710,495,969,97,258
2,6,person,0.730,1050,914,1109,1079,58,164
2,7,person,0.729,1357,576,1458,819,101,242
2,8,person,0.722,189,614,247,826,58,212
2,9,person,0.695,532,273,587,472,55,198
2,10,person,0.689,1025,132,1085,301,60,169
2,11,person,0.652,863,201,925,393,61,191
2,12,person,0.625,591,266,645,442,54,175
2,13,person,0.591,1275,173,1370,322,95,148
2,14,person,0.565,766,253,821,429,54,176
2,15,motorcycle,0.544,1482,569,1730,740,247,170
2,16,person,0.516,626,753,679,915,52,161
2,17,person,0.481,349,97,411,275,61,177
2,18,person,0.474,816,263,868,418,52,155
2,19,person,0.424,791,148,849,285,57,137
2,20,person,0.414,289,124,338,289,49,165
2,21,person,0.364,1162,162,1218,268,55,106
2,22,person,0.325,457,33,502,188,44,155
2,23,person,0.300,1486,69,1540,144,53,75
4,1,car,0.885,1194,316,1460,569,265,253
4,2,person,0.844,1722,457,1795,666,72,209
4,3,person,0.843,417,254,494,471,76,217
4,4,person,0.827,99,547,174,794,75,246
4,5,person,0.798,397,709,497,968,100,259
4,6,person,0.727,1357,576,1459,819,102,242
4,7,person,0.720,191,611,253,824,61,212
4,8,person,0.715,1013,132,1079,302,66,170
4,9,person,0.715,1046,912,1106,1078,60,166
4,10,person,0.704,534,273,588,472,53,199
4,11,person,0.655,593,269,647,446,54,177
4,12,person,0.630,1270,172,1367,322,97,149
4,13,person,0.599,860,198,923,393,63,194
4,14,motorcycle,0.599,1482,569,1730,741,247,171
4,15,person,0.552,763,255,822,431,58,175
4,16,person,0.485,348,96,410,275,61,179
4,17,person,0.481,627,753,679,913,52,159
4,18,person,0.456,289,126,338,288,48,162
4,19,person,0.416,791,147,849,286,57,138
4,20,person,0.361,814,266,864,416,50,150
4,21,person,0.340,1488,70,1540,143,52,73
4,22,person,0.331,451,35,501,191,49,156
4,23,person,0.309,1159,162,1211,291,51,128
6,1,car,0.877,1194,315,1460,570,266,254
6,2,person,0.845,418,252,494,468,76,215
6,3,person,0.841,1722,457,1795,666,72,209
6,4,person,0.813,99,547,174,794,75,246
6,5,person,0.790,398,704,494,965,96,261
6,6,person,0.757,994,133,1073,303,79,169
6,7,person,0.747,1042,910,1103,1078,61,167
6,8,person,0.721,856,200,924,390,67,189
6,9,person,0.707,1357,577,1459,818,101,241
6,10,person,0.683,535,276,588,471,53,195
6,11,person,0.680,195,610,259,826,64,215
6,12,person,0.634,1264,167,1363,322,99,155
6,13,person,0.580,593,269,650,445,57,175
6,14,motorcycle,0.561,1481,571,1730,740,248,169
6,15,person,0.520,288,124,338,288,50,164
6,16,person,0.508,760,255,819,431,59,176
6,17,person,0.493,349,99,410,276,60,177
6,18,person,0.446,627,752,679,913,52,160
6,19,person,0.389,1139,161,1209,311,70,150
6,20,person,0.334,489,198,550,370,61,172
6,21,person,0.308,811,266,863,432,52,166
6,22,person,0.304,1155,162,1210,278,55,116
6,23,person,0.303,791,148,848,291,57,143
8,1,car,0.879,1194,314,1460,569,266,255
8,2,person,0.837,420,249,493,467,73,217
8,3,person,0.833,1722,457,1795,667,72,209
8,4,person,0.801,99,547,174,794,75,246
8,5,person,0.764,1037,909,1101,1079,63,169
8,6,person,0.760,400,701,494,963,94,261
8,7,person,0.734,985,131,1070,303,84,172
8,8,person,0.725,1358,578,1462,821,104,242
8,9,person,0.700,531,273,587,472,56,199
8,10,person,0.692,853,197,923,386,70,188
8,11,person,0.608,593,270,652,446,58,176
8,12,person,0.604,202,610,262,818,60,207
8,13,person,0.537,288,124,339,288,50,164
8,14,person,0.525,1152,159,1205,309,53,150
8,15,person,0.519,1263,162,1360,323,97,160
8,16,motorcycle,0.515,1483,573,1729,741,246,168
8,17,person,0.501,349,101,411,276,61,174
8,18,person,0.469,627,752,679,913,52,161
8,19,person,0.447,757,253,819,436,61,182
8,20,person,0.373,490,202,548,371,58,169
8,21,person,0.322,685,207,760,411,74,203
8,22,potted plant,0.321,1502,260,1605,371,102,110
8,23,person,0.319,760,251,841,439,81,187
10,1,car,0.876,1193,316,1461,570,267,253
10,2,person,0.837,1722,457,1795,667,73,210
10,3,person,0.835,420,249,493,463,73,214
10,4,person,0.807,99,548,173,794,74,245
10,5,person,0.768,1035,908,1098,1079,62,170
10,6,person,0.768,406,695,495,941,88,245
10,7,person,0.722,982,134,1068,306,86,171
10,8,person,0.704,1357,580,1461,820,103,240
10,9,person,0.697,853,195,922,383,68,187
10,10,person,0.669,530,275,585,475,55,200
10,11,person,0.616,593,269,653,449,59,179
10,12,person,0.606,207,604,264,810,57,206
10,13,person,0.577,756,250,818,440,61,190
10,14,motorcycle,0.550,1483,573,1729,741,246,167
10,15,person,0.546,288,124,339,289,50,164
10,16,person,0.538,1146,161,1205,313,59,152
10,17,person,0.504,349,101,411,276,62,175
10,18,person,0.457,628,751,679,908,51,157
10,19,person,0.426,805,268,861,446,55,177
10,20,person,0.371,1247,136,1349,320,101,184
10,21,person,0.350,792,148,848,290,56,141
10,22,person,0.346,684,208,760,412,75,203
12,1,car,0.865,1193,317,1461,569,267,252
12,2,person,0.853,1723,457,1796,667,72,209
12,3,person,0.826,421,248,493,455,72,207
12,4,person,0.808,404,688,495,943,90,254
12,5,person,0.804,99,549,173,794,73,245
12,6,person,0.749,1030,907,1096,1079,65,172
12,7,person,0.725,850,194,921,381,70,186
12,8,person,0.715,1358,580,1460,821,102,240
12,9,person,0.683,981,132,1064,304,82,172
12,10,person,0.679,212,598,270,806,58,207
12,11,person,0.650,529,275,589,481,60,206
12,12,person,0.604,756,251,820,445,63,194
12,13,person,0.566,1142,159,1200,312,58,153
12,14,motorcycle,0.554,1483,573,1729,742,246,169
12,15,person,0.537,595,269,654,450,59,180
12,16,person,0.530,289,125,339,288,50,162
12,17,person,0.530,349,102,411,276,61,173
12,18,person,0.441,627,752,678,910,51,157
12,19,person,0.392,792,148,848,301,56,153
12,20,person,0.381,807,275,856,450,49,174
12,21,person,0.360,434,30,499,199,65,168
12,22,bicycle,0.313,1334,168,1442,256,108,88
14,1,car,0.871,1193,316,1461,570,267,253
14,2,person,0.846,1721,457,1795,668,73,210
14,3,person,0.824,401,683,495,934,93,250
14,4,person,0.820,421,243,493,451,72,207
14,5,person,0.793,99,549,173,794,73,245
14,6,person,0.734,215,595,278,803,62,208
14,7,person,0.725,1028,906,1093,1079,65,172
14,8,person,0.699,1358,581,1460,820,102,239
14,9,person,0.694,851,192,921,381,70,188
14,10,person,0.647,984,127,1052,303,68,175
14,11,person,0.603,527,278,588,485,60,206
14,12,person,0.563,756,254,818,446,62,191
14,13,motorcycle,0.554,1483,575,1729,743,245,167
14,14,person,0.545,348,100,410,276,62,176
14,15,person,0.539,596,269,655,448,58,179
14,16,person,0.503,289,126,339,288,50,161
14,17,person,0.460,1250,145,1333,321,82,176
14,18,person,0.448,1139,160,1193,307,54,147
14,19,person,0.436,627,752,678,911,51,158
14,20,person,0.372,792,150,847,296,55,145
14,21,person,0.368,805,283,856,450,51,167
14,22,handbag,0.324,400,749,432,823,31,74
16,1,car,0.878,1193,315,1461,569,267,253
16,2,person,0.850,1722,457,1795,668,72,210
16,3,person,0.822,398,680,495,936,96,256
16,4,person,0.796,99,549,173,794,73,245
16,5,person,0.789,421,241,493,449,72,208
16,6,person,0.720,851,192,924,378,72,186
16,7,person,0.706,1023,907,1089,1078,65,171
16,8,person,0.702,1359,580,1459,819,100,238
16,9,person,0.693,218,593,283,804,65,211
16,10,person,0.627,983,124,1045,300,61,176
16,11,person,0.591,349,102,411,276,61,173
16,12,motorcycle,0.555,1484,575,1729,744,245,168
16,13,person,0.549,755,260,817,450,62,189
16,14,person,0.546,517,261,590,490,72,228
16,15,person,0.506,289,126,340,289,51,163
16,16,person,0.492,598,269,655,452,56,182
16,17,person,0.396,1132,157,1188,303,56,145
16,18,person,0.394,434,39,494,199,60,159
16,19,person,0.392,806,281,862,453,56,172
16,20,person,0.389,626,752,678,913,52,160
16,21,person,0.386,1246,149,1329,320,83,171
16,22,person,0.385,791,149,847,297,56,147
18,1,car,0.881,1193,316,1461,569,267,253
18,2,person,0.848,1722,457,1795,667,72,210
18,3,person,0.817,396,679,494,937,98,257
18,4,person,0.791,99,549,173,795,74,246
18,5,person,0.782,420,240,493,450,72,210
18,6,person,0.726,1017,906,1086,1076,69,170
18,7,person,0.716,853,191,925,376,71,184
18,8,person,0.707,1359,580,1459,820,100,239
18,9,person,0.691,219,594,294,804,75,209
18,10,person,0.582,529,280,591,491,61,210
18,11,person,0.568,348,101,411,276,62,175
18,12,motorcycle,0.534,1484,576,1728,743,243,166
18,13,person,0.532,980,123,1035,294,55,170
18,14,person,0.504,1128,157,1185,308,57,150
18,15,person,0.491,288,125,341,290,52,165
18,16,person,0.488,1241,161,1320,322,78,160
18,17,person,0.472,755,260,817,454,62,194
18,18,person,0.414,627,752,678,912,50,160
18,19,person,0.409,602,284,654,450,52,166
18,20,person,0.385,792,149,847,298,55,149
18,21,person,0.328,433,32,489,199,55,166
18,22,motorcycle,0.326,1324,164,1443,254,119,89
18,23,person,0.322,803,281,854,454,50,173
20,1,car,0.880,1193,316,1460,570,267,253
20,2,person,0.848,1722,456,1795,668,73,211
20,3,person,0.810,420,238,494,449,73,211
20,4,person,0.790,395,678,494,935,98,257
20,5,person,0.775,99,548,172,795,73,246
20,6,person,0.734,1017,907,1082,1076,64,168
20,7,person,0.723,856,191,925,375,68,184
20,8,person,0.720,1359,579,1460,821,101,241
20,9,person,0.633,223,589,296,802,72,213
20,10,person,0.604,1233,159,1318,324,84,165
20,11,person,0.578,1121,155,1181,304,60,148
20,12,person,0.572,349,101,411,275,62,174
20,13,person,0.566,518,273,587,492,69,219
20,14,person,0.565,972,123,1029,295,56,171
20,15,person,0.495,754,260,813,456,59,195
20,16,person,0.483,288,124,341,291,52,167
20,17,motorcycle,0.483,1485,577,1728,743,243,166
20,18,person,0.476,628,753,678,914,50,160
20,19,person,0.471,801,280,852,456,51,175
20,20,person,0.420,791,150,849,298,58,148
20,21,motorcycle,0.358,1324,164,1443,256,119,91
20,22,person,0.347,602,292,656,450,53,158
20,23,person,0.312,1486,70,1541,147,54,76
22,1,car,0.876,1194,317,1461,569,267,252
22,2,person,0.841,1722,456,1795,668,72,211
22,3,person,0.778,420,238,493,451,73,213
22,4,person,0.773,395,670,493,930,97,260
22,5,person,0.759,99,548,172,796,73,247
22,6,person,0.744,1014,910,1078,1076,63,166
22,7,person,0.738,858,190,926,376,68,185
22,8,person,0.705,1358,579,1459,820,100,240
22,9,person,0.641,224,587,299,801,74,214
22,10,person,0.590,520,256,589,493,69,237
22,11,person,0.586,1228,156,1311,325,83,168
22,12,person,0.551,752,261,812,456,59,194
22,13,person,0.541,349,101,411,275,61,174
22,14,person,0.521,964,122,1024,291,60,168
22,15,motorcycle,0.502,1484,578,1728,743,243,165
22,16,person,0.455,801,279,854,451,53,172
22,17,person,0.432,288,124,341,291,52,166
22,18,person,0.394,791,150,850,301,58,151
22,19,person,0.387,628,753,678,912,50,158
22,20,motorcycle,0.383,1323,164,1443,257,119,93
22,21,person,0.381,1117,155,1175,299,58,143
22,22,person,0.327,1486,71,1540,146,53,75
24,1,car,0.879,1193,316,1461,570,267,253
24,2,person,0.843,1722,457,1795,668,73,210
24,3,person,0.787,397,663,491,926,93,262
24,4,person,0.781,420,236,493,449,73,213
24,5,person,0.753,99,549,172,797,72,248
24,6,person,0.743,1011,911,1072,1077,61,165
24,7,person,0.707,1359,580,1460,820,101,240
24,8,person,0.700,226,583,296,799,69,215
24,9,person,0.699,860,187,926,372,65,184
24,10,person,0.584,955,121,1022,296,67,174
24,11,person,0.536,348,102,411,276,62,174
24,12,motorcycle,0.528,1485,578,1729,742,244,163
24,13,person,0.525,752,264,810,457,57,192
24,14,person,0.518,507,219,587,492,79,272
24,15,person,0.506,800,279,856,461,55,181
24,16,person,0.491,0,606,66,840,66,234
24,17,person,0.432,289,125,341,293,52,167
24,18,person,0.419,1112,152,1170,253,58,100
24,19,person,0.394,1224,156,1302,324,77,167
24,20,person,0.393,791,149,850,302,59,152
24,21,person,0.391,629,754,678,913,49,159
24,22,motorcycle,0.341,1315,161,1443,258,128,96
26,1,car,0.886,1193,316,1461,569,267,253
26,2,person,0.840,1722,456,1795,668,72,211
26,3,person,0.805,403,657,491,916,88,258
26,4,person,0.769,418,231,492,447,73,215
26,5,person,0.758,99,549,171,797,72,248
26,6,person,0.736,862,182,930,366,68,184
26,7,person,0.725,1007,912,1068,1079,61,167
26,8,person,0.697,1359,580,1460,820,101,239
26,9,person,0.689,229,578,296,786,66,207
26,10,person,0.587,938,124,1016,295,77,171
26,11,person,0.571,752,266,810,461,58,195
26,12,motorcycle,0.570,1484,576,1729,742,244,165
26,13,person,0.547,348,102,411,277,62,174
26,14,person,0.509,518,288,587,491,69,203
26,15,person,0.491,800,278,861,463,60,185
26,16,person,0.441,1108,150,1165,251,56,101
26,17,person,0.440,289,125,341,293,52,167
26,18,person,0.426,791,150,851,303,60,153
26,19,person,0.375,629,756,678,911,48,155
26,20,motorcycle,0.334,1296,155,1444,259,147,103
26,21,person,0.300,0,607,59,843,59,236
28,1,car,0.879,1193,315,1461,570,267,254
28,2,person,0.841,1723,456,1795,668,72,211
28,3,person,0.788,406,654,492,899,85,245
28,4,person,0.782,415,230,491,443,76,213
28,5,person,0.737,99,548,171,796,71,248
28,6,person,0.736,1005,913,1064,1078,59,164
28,7,person,0.724,866,182,933,363,66,180
28,8,person,0.713,1359,580,1461,821,102,240
28,9,person,0.675,231,575,298,778,66,203
28,10,person,0.588,511,245,586,493,74,247
28,11,person,0.586,932,125,1013,294,80,169
28,12,motorcycle,0.574,1484,574,1730,742,246,168
28,13,person,0.538,348,103,411,277,62,174
28,14,person,0.483,0,620,99,845,99,224
28,15,person,0.481,798,285,861,469,62,183
28,16,person,0.460,1104,149,1161,301,57,151
28,17,person,0.452,1212,155,1267,327,54,172
28,18,person,0.444,289,125,342,292,52,167
28,19,person,0.440,752,268,809,461,57,193
28,20,person,0.436,791,149,851,305,59,156
28,21,motorcycle,0.330,1295,157,1444,260,148,102
28,22,person,0.305,1104,150,1160,251,56,101
30,1,car,0.870,1193,315,1461,570,267,255
30,2,person,0.844,1722,457,1795,668,72,210
30,3,person,0.766,409,648,496,898,86,249
30,4,person,0.747,415,227,490,439,75,211
30,5,person,0.744,98,548,170,796,72,248
30,6,person,0.744,1001,915,1060,1078,58,162
30,7,person,0.736,868,181,934,363,65,181
30,8,person,0.716,1359,580,1460,821,101,240
30,9,person,0.663,0,621,90,846,89,225
30,10,person,0.656,233,570,301,776,68,205
30,11,person,0.647,524,282,586,494,62,211
30,12,person,0.587,752,277,813,464,60,187
30,13,motorcycle,0.583,1484,576,1729,742,245,166
30,14,person,0.568,931,121,1006,295,75,173
30,15,person,0.529,349,104,410,278,61,173
30,16,person,0.526,801,286,861,473,59,186
30,17,person,0.467,1096,150,1155,303,59,153
30,18,person,0.447,791,150,849,311,57,161
30,19,person,0.419,289,125,342,292,52,166
30,20,person,0.417,1210,152,1263,325,53,173
30,21,motorcycle,0.335,1292,158,1444,260,152,102
32,1,car,0.871,1193,315,1460,570,267,255
32,2,person,0.834,1722,457,1795,668,73,211
32,3,person,0.811,418,228,491,433,72,205
32,4,person,0.808,870,175,940,362,69,187
32,5,person,0.791,409,644,500,898,90,254
32,6,person,0.763,997,916,1056,1077,59,161
32,7,person,0.756,98,549,170,796,72,246
32,8,person,0.741,0,617,111,856,111,238
32,9,person,0.717,1358,578,1461,821,102,243
32,10,person,0.708,233,568,300,773,66,204
32,11,person,0.615,527,298,585,497,58,199
32,12,motorcycle,0.611,1484,575,1728,742,244,166
32,13,person,0.603,753,278,814,465,60,187
32,14,person,0.570,350,104,410,278,60,174
32,15,person,0.560,937,121,1003,296,65,174
32,16,person,0.507,803,293,861,473,58,179
32,17,person,0.483,791,150,849,312,57,162
32,18,person,0.457,289,124,342,292,52,167
32,19,person,0.433,1091,148,1147,292,56,144
32,20,person,0.425,1206,150,1261,323,54,172
32,21,motorcycle,0.417,1290,157,1444,260,153,102
32,22,person,0.369,609,277,669,486,59,208
32,23,person,0.306,1486,71,1541,147,55,76
34,1,car,0.867,1193,315,1460,569,267,253
34,2,person,0.834,1722,457,1795,668,72,211
34,3,person,0.807,418,224,491,433,72,209
34,4,person,0.794,870,174,941,364,71,190
34,5,person,0.790,408,643,503,896,94,252
34,6,person,0.780,993,918,1053,1079,59,160
34,7,person,0.738,3,619,107,854,104,235
34,8,person,0.737,98,549,169,794,71,244
34,9,person,0.707,1359,577,1459,819,100,241
34,10,person,0.687,233,567,300,773,66,206
34,11,person,0.686,750,279,815,470,64,190
34,12,motorcycle,0.587,1484,576,1729,742,244,165
34,13,person,0.574,523,257,587,502,63,245
34,14,person,0.546,803,292,864,475,60,182
34,15,person,0.538,1199,154,1256,326,57,172
34,16,person,0.534,350,104,409,278,59,173
34,17,person,0.465,791,149,851,312,60,162
34,18,motorcycle,0.455,1290,159,1444,260,153,101
34,19,person,0.452,289,124,342,293,53,168
34,20,person,0.439,1089,147,1139,290,50,142
34,21,person,0.415,934,122,997,298,63,175
34,22,person,0.394,610,275,673,488,63,213
34,23,person,0.353,1486,71,1540,147,54,76
34,24,person,0.327,1249,145,1301,320,52,174
36,1,car,0.872,1193,316,1460,569,267,253
36,2,person,0.829,1722,457,1795,668,72,210
36,3,person,0.802,410,641,505,898,94,256
36,4,person,0.801,418,222,490,433,72,210
36,5,person,0.787,988,919,1051,1079,62,159
36,6,person,0.772,869,174,941,365,72,191
36,7,person,0.743,97,547,171,796,74,248
36,8,person,0.722,1358,574,1460,820,101,245
36,9,person,0.712,16,622,109,851,93,228
36,10,person,0.705,232,566,299,770,66,203
36,11,person,0.672,1194,151,1251,331,56,179
36,12,person,0.642,525,295,585,504,59,208
36,13,person,0.600,753,279,814,468,60,188
36,14,person,0.584,350,104,409,278,59,173
36,15,motorcycle,0.582,1484,577,1728,742,243,165
36,16,person,0.520,803,297,865,474,61,177
36,17,person,0.494,1080,145,1137,300,57,155
36,18,person,0.475,789,149,851,312,61,162
36,19,motorcycle,0.473,1288,160,1443,260,155,99
36,20,person,0.471,289,125,343,292,53,167
36,21,person,0.433,609,277,669,490,60,213
36,22,person,0.387,1242,151,1295,312,52,160
36,23,person,0.316,629,753,678,914,49,160
38,1,car,0.879,1193,316,1460,570,267,253
38,2,person,0.832,1721,457,1795,668,73,210
38,3,person,0.792,409,637,505,895,96,257
38,4,person,0.782,419,221,491,431,72,209
38,5,person,0.777,985,919,1050,1079,65,160
